NO,Y2019-1,Y2019-2,Y2018-1,Y2018-2,Y2018-3,Y2017-1,Y2017-2,Y2017-3,Y2016-1,Y2016-2,Y2016-3,Y2015-1,Y2015-2,Y2015-3,Y2014-1,Y2014-2,Y2014-3,Y2013-1,Y2013-2,Y2013-3,Y2012-1,Y2012-2,Y2012-3,Y2011-1,Y2011-2,Y2011-3,Y2010-1,Y2010-2,Y2010-3
1,tt4154796,tt8237172,tt4154756,tt6237612,tt7756082,tt2771200,tt5087914,tt6213802,tt3498820,tt4104354,tt5259134,tt2488496,tt3459004,tt4381048,tt2109248,tt2673388,tt3505950,tt2294629,tt2232464,tt2773732,tt0848228,tt1943869,tt2325795,tt1201607,tt1684555,tt1993428,tt0435761,tt1465491,tt1754022
2,tt6105098,tt8240250,tt1825683,tt6237966,tt7756494,tt2527336,tt5089068,tt6213822,tt2948356,tt4105700,tt5259496,tt0369610,tt3459906,tt4384186,tt2310332,tt2675914,tt3506302,tt1300854,tt2232578,tt2776074,tt1074638,tt1945034,tt2325991,tt1399103,tt1684558,tt1995242,tt1014759,tt1465493,tt1754109
3,tt6320628,tt8241872,tt4881806,tt6238798,tt7757972,tt4630562,tt5089534,tt6213850,tt3748528,tt4110400,tt5259966,tt2820852,tt3460084,tt4384242,tt1951265,tt2675978,tt3506934,tt1690953,tt2232594,tt2776106,tt0903624,tt1945052,tt2327118,tt1298650,tt1684564,tt1996223,tt1375666,tt1465496,tt1754141
4,tt4154664,tt8242160,tt3606756,tt6241678,tt7758160,tt3469046,tt5091014,tt6213880,tt2277860,tt4113846,tt5259978,tt2395427,tt3460922,tt4384350,tt2015381,tt2676350,tt3506970,tt1951264,tt2233268,tt2776344,tt1345836,tt1946289,tt2327239,tt1324999,tt1685576,tt1996227,tt1325004,tt1465499,tt1754177
5,tt7286456,tt8243160,tt1477834,tt6241872,tt7759626,tt2283362,tt5091530,tt6213952,tt2709768,tt4114630,tt5260026,tt2293640,tt3462880,tt4384398,tt1587310,tt2678948,tt3507558,tt1170358,tt2234025,tt2776354,tt1667889,tt1946298,tt2327389,tt1229238,tt1686034,tt1996312,tt0892791,tt1465505,tt1754215
6,tt1979376,tt8243286,tt1727824,tt6245274,tt7760084,tt7131870,tt5093026,tt6213994,tt3040964,tt4116388,tt5261644,tt2096673,tt3464902,tt4386356,tt1877832,tt2679480,tt3507794,tt1905041,tt2234032,tt2776412,tt1673434,tt1949137,tt2327453,tt1302011,tt1686067,tt1997289,tt1323594,tt1465519,tt1754277
7,tt6139732,tt8251234,tt1270797,tt6250792,tt7761014,tt2250912,tt5096846,tt6214084,tt1431045,tt4117206,tt5261772,tt2379713,tt3465074,tt4386684,tt1843866,tt2683694,tt3508112,tt1454468,tt2234261,tt2776882,tt1392170,tt1949536,tt2328503,tt1411697,tt1686069,tt1997402,tt1228705,tt1465522,tt1754332
8,tt7605074,tt8253606,tt5463162,tt6251390,tt7762748,tt3501632,tt5101878,tt6214734,tt3183660,tt4118606,tt5262450,tt2381249,tt3467412,tt4388964,tt2103281,tt2689354,tt3508590,tt1453405,tt2234429,tt2777548,tt1277953,tt1949548,tt2328505,tt1596343,tt1686306,tt1997618,tt1504320,tt1465854,tt1754394
9,tt6806448,tt8263936,tt4912910,tt6251504,tt7762772,tt0451279,tt5104330,tt6214928,tt2975590,tt4118932,tt5263116,tt2322441,tt3468612,tt4391852,tt0816692,tt2690718,tt3508808,tt1981115,tt2234457,tt2779910,tt0948470,tt1950264,tt2328623,tt0472181,tt1686326,tt1998395,tt0800320,tt1466569,tt1754410
10,tt2386490,tt8265928,tt6878882,tt6256452,tt7762982,tt1396484,tt5109302,tt6215044,tt1386697,tt4119044,tt5263412,tt3659388,tt3468698,tt4392438,tt1872181,tt2691010,tt3509662,tt0481499,tt2234543,tt2779932,tt1637725,tt1950399,tt2328737,tt0448694,tt1686327,tt1999167,tt0398286,tt1466572,tt1754421
11,tt7349950,tt8268916,tt5095030,tt6256546,tt7763020,tt3896198,tt5110386,tt6215208,tt3470600,tt4121866,tt5265222,tt1951266,tt3469284,tt4392454,tt2245084,tt2691102,tt3509772,tt0770828,tt2235876,tt2779998,tt0454876,tt1951076,tt2328819,tt1515091,tt1686328,tt1999250,tt0892769,tt1467061,tt1754442
12,tt5113040,tt8268972,tt4123430,tt6257174,tt7764650,tt2380307,tt5110942,tt6215368,tt3521164,tt4122254,tt5265708,tt1661199,tt3470656,tt4392726,tt2179136,tt2691734,tt3509796,tt0816711,tt2235902,tt2781832,tt1409024,tt1951133,tt2328841,tt1436562,tt1686768,tt1999935,tt1155076,tt1467273,tt1754455
13,tt5884052,tt8269120,tt5220122,tt6258766,tt7765120,tt1790809,tt5111550,tt6215588,tt1211837,tt4125372,tt5265960,tt1663202,tt3471098,tt4396042,tt1646971,tt2692538,tt3509804,tt1457767,tt2236054,tt2782834,tt1707386,tt1951164,tt2330322,tt1318514,tt1687277,tt2002606,tt0947798,tt1467290,tt1754568
14,tt7131622,tt8271188,tt2709692,tt6260342,tt7765910,tt3315342,tt5112578,tt6215712,tt4701660,tt4125568,tt5269396,tt2510894,tt3471472,tt4396074,tt2872732,tt2693664,tt3510372,tt1430132,tt2237008,tt2783020,tt1217209,tt1951166,tt2330380,tt1216475,tt1687278,tt2002742,tt0980970,tt1467385,tt1754843
15,tt0448115,tt8282830,tt7362036,tt6263618,tt7767866,tt5013056,tt5114154,tt6215964,tt3783958,tt4125630,tt5270366,tt0478970,tt3472714,tt4396584,tt1490017,tt2701390,tt3510452,tt0993846,tt2237448,tt2783156,tt1397280,tt1954258,tt2330396,tt0800369,tt1687281,tt2004191,tt1220634,tt1467405,tt1756479
16,tt6146586,tt8284860,tt1677720,tt6264928,tt7767874,tt3874544,tt5116504,tt6217564,tt2267968,tt4126434,tt5270810,tt2126355,tt3473410,tt4396648,tt2357291,tt2701772,tt3510508,tt1623205,tt2239078,tt2783910,tt1853728,tt1954318,tt2330444,tt1615918,tt1687889,tt2004211,tt1104001,tt1468313,tt1756487
17,tt4777008,tt8291224,tt4779682,tt6268734,tt7768846,tt3371366,tt5117484,tt6217608,tt3385516,tt4126694,tt5271120,tt1340138,tt3474602,tt4400028,tt0831387,tt2701778,tt3510718,tt1408101,tt2240884,tt2784036,tt1772341,tt1954330,tt2330723,tt1478338,tt1687901,tt2004270,tt1130884,tt1468321,tt1756616
18,tt6857112,tt8291806,tt1517451,tt6268812,tt7769530,tt3731562,tt5119116,tt6217648,tt3416828,tt4129802,tt5271442,tt2848292,tt3474978,tt4400058,tt1291150,tt2706570,tt3511542,tt1670345,tt2241047,tt2784054,tt1482459,tt1954464,tt2330866,tt0983193,tt1688644,tt2004279,tt1403865,tt1468381,tt1756679
19,tt0437086,tt8296660,tt5848272,tt6268882,tt7770192,tt0974015,tt5120010,tt6217672,tt4196776,tt4129870,tt5271772,tt4046784,tt3475020,tt4400174,tt2802144,tt2707848,tt3514116,tt1951261,tt2241116,tt2785162,tt0837562,tt1954470,tt2330927,tt0458339,tt1688649,tt2005299,tt0970866,tt1468387,tt1756773
20,tt6823368,tt8302982,tt5814060,tt6269368,tt7772412,tt1485796,tt5121816,tt6217706,tt3065204,tt4131240,tt5271906,tt2279373,tt3475596,tt4400360,tt1790864,tt2707858,tt3514330,tt1343092,tt2241376,tt2786278,tt1446714,tt1954688,tt2331167,tt1650062,tt1690368,tt2005363,tt1320253,tt1468703,tt1757671
